ID_MARKET,LM_TNAME,LM_ENAME,CODE_ID,GROUP_ID,GROUP_TNAM,GROUP_ENAM,ADMIN_CODE,TAM_CODE,TAM_TNAME,TAM_ENAME,AMP_CODE,AMP_TNAME,AMP_ENAME,PROV_CODE,PROV_TNAME,PROV_ENAME,REG_CODE,REG_TNAME,REG_ENAME,POSTCOD,CNTRY_CODE,CNTRY_TNAM,CNTRY_ENAM,LAT,LONG
11986,ตลาดเยาวราชเก่า,Yaowarat Kao Market,14000,14,ตลาด,Market,6604014401,1,จักรวรรดิ,Chakkrawat,44,สัมพันธวงศ์,Samphanthawong,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10100,66,ไทย,Thailand,13.740588,100.508546
12097,ตลาดนัดสุภาพงษ์,Suphaphong Weekend Market,14000,14,ตลาด,Market,6604010503,3,จันทรเกษม,Chan Kasem,5,จตุจักร,Chatuchak,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10900,66,ไทย,Thailand,13.80494,100.587977
12008,ตลาดบำรุงสุข,Bamrungsuk Market,14000,14,ตลาด,Market,6604013501,1,ช่องนนทรี,Chong Nonsi,35,ยานนาวา,Yannawa,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.710525,100.542316
12009,ตลาดพันธุลาภ,Phanthulap Market,14000,14,ตลาด,Market,6604013501,1,ช่องนนทรี,Chong Nonsi,35,ยานนาวา,Yannawa,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.707784,100.543733
12010,ตลาดช่องนนทรี(ตลาดเอกชน),Chongnonsi Market(Private Market),14000,14,ตลาด,Market,6604013501,1,ช่องนนทรี,Chong Nonsi,35,ยานนาวา,Yannawa,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.700566,100.546172
12012,ตลาดรุ่งเจริญ,Rungcharoen Market,14000,14,ตลาด,Market,6604013501,1,ช่องนนทรี,Chong Nonsi,35,ยานนาวา,Yannawa,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.694,100.534421
70906,ตลาดส่งเสรมการเกษตรไทย,Talat Song Se Rom Kan Kaset Thai,14000,14,ตลาด,Market,6604013501,1,ช่องนนทรี,Chong Nonsi,35,ยานนาวา,Yannawa,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10120,66,ไทย,Thailand,13.707724,100.543722
12192,ตลาดกรุงเทพฯ - ราม 2,Bangkok - Ram 2 Market,14000,14,ตลาด,Market,6604012803,3,ดอกไม้,Dokmai,28,ประเวศ,Prawet,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10250,66,ไทย,Thailand,13.671513,100.682722
12193,ตลาดนัมเบอร์วัน,Number One Market,14000,14,ตลาด,Market,6604012803,3,ดอกไม้,Dokmai,28,ประเวศ,Prawet,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10250,66,ไทย,Thailand,13.670916,100.685128
12194,ตลาดนัมเบอร์วัน,Number One Market,14000,14,ตลาด,Market,6604012803,3,ดอกไม้,Dokmai,28,ประเวศ,Prawet,1,กรุงเทพมหานคร,Bangkok,4,กรุงเทพฯและปริมณฑล,Circumference,10250,66,ไทย,Thailand,13.670344,100.68494
